Site_ID,Date,Date_Year,Date_Month,Date_Day,City_Town_Name,Latitude_Degrees,Longitude_Degrees,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Depth_m,ClimSST,SSTA,SSTA_DHW,TSA,TSA_DHW,Windspeed,Percent_Bleaching
12439,2005-08-18,2005,8,18,Monroe County,24.555,-81.4355,6883.25,Exposed,0.142,58.42,5.6,299.85,3.31,35.04,3.31,34.62,4,0.1535
12622,2005-08-18,2005,8,18,Monroe County,24.6198,-81.3701,1054.02,Sheltered,0.1553,62.25,2.7,302.23,0.52,5.41,0.4,3.39,4,0.4
12400,2005-08-19,2005,8,19,Monroe County,24.5478,-81.4256,8089.82,Exposed,0.142,58.42,10.1,299.85,3.31,35.04,3.31,34.62,4,0.10949999999999999
12463,2005-08-19,2005,8,19,Monroe County,24.5622,-81.3404,7963.35,Exposed,0.0911,57.81,8.5,302.31,0.26,1.34,0.2,1.34,4,0.16670000000000001
12441,2005-08-19,2005,8,19,Monroe County,24.5568,-81.3503,8307.44,Exposed,0.0911,57.81,14.7,302.31,0.26,1.34,0.2,1.34,4,0.1818
14265,2005-08-20,2005,8,20,Palm Beach County,26.7093,-80.0285,460,Exposed,0.0461,88.08,7,301.9,1.05,2.31,1.04,1.29,3,0
14278,2005-08-20,2005,8,20,Palm Beach County,26.7226,-80.0286,546,Exposed,0.0461,88.08,7.9,301.9,1.05,2.31,1.04,1.29,3,0.047599999999999996
14264,2005-08-20,2005,8,20,Palm Beach County,26.7069,-80.0301,286,Exposed,0.0429,88.08,3,301.9,1.05,2.31,1.04,1.29,3,0.09519999999999999
14315,2005-08-21,2005,8,21,Martin County,27.1316,-80.1341,1052,Exposed,0.1064,57.69,3.7,301.33,1.73,4.96,1.73,3.74,3,0.09759999999999999
14307,2005-08-21,2005,8,21,Martin County,27.1121,-80.1254,1195,Exposed,0.1073,57.69,4.9,262.15,1.29,4.66,1.29,3.74,3,0.125
14300,2005-08-21,2005,8,21,Martin County,27.1084,-80.123,1234,Exposed,0.1193,57.69,4.2,262.15,1.29,4.66,1.29,3.74,3,0.2708
13495,2005-08-22,2005,8,22,Monroe County,25.4022,-80.1322,7303.47,Exposed,0.0608,57.28,2.5,302.22,-0.13,1.04,-0.16,0,3,0.0705
13753,2005-08-22,2005,8,22,Miami-Dade County,25.7978,-80.0976,2638,Exposed,0.0616,41.6,10.4,301.98,0.17,1.66,0.16,1.67,3,0.1364
13482,2005-08-22,2005,8,22,Monroe County,25.3883,-80.1334,7701.44,Exposed,0.0608,57.28,9,302.22,-0.13,1.04,-0.16,0,3,0.16670000000000001
13654,2005-08-22,2005,8,22,Miami-Dade County,25.5791,-80.0918,9178.75,Exposed,0.1536,57.93,14,302.11,0.97,2.28,0.92,1.03,3,0.17120000000000002
13767,2005-08-22,2005,8,22,Miami-Dade County,25.8247,-80.0907,2923,Exposed,0.0616,41.6,16.4,301.98,0.17,1.66,0.16,1.67,3,0.20829999999999999
13755,2005-08-22,2005,8,22,Miami-Dade County,25.7996,-80.0956,2765,Exposed,0.0616,41.6,14,301.98,0.17,1.66,0.16,1.67,3,0.2143
13671,2005-08-22,2005,8,22,Miami-Dade County,25.6043,-80.0938,9280.93,Exposed,0.0999,57.13,6.7,302.11,0.97,2.28,0.92,1.03,3,0.3667
13737,2005-08-22,2005,8,22,Miami-Dade County,25.7778,-80.0903,3809,Exposed,0.0599,41.6,12.2,302,0.36,2.99,0.33,2.98,3,0.40740000000000004
13559,2005-08-22,2005,8,22,Miami-Dade County,25.4579,-80.1312,5520,Exposed,0.1636,58.01,6,302.11,-0.12,1.41,-0.2,0,3,0.4378
13490,2005-08-22,2005,8,22,Miami-Dade County,25.3987,-80.161,4646.25,Sheltered,0.0608,57.28,3,302.13,0.83,1.91,0.77,0,3,0.4598
13477,2005-08-22,2005,8,22,Miami-Dade County,25.3757,-80.1393,7747.38,Exposed,0.0608,57.28,10,302.22,-0.13,1.04,-0.16,0,3,0.4783
13848,2005-08-23,2005,8,23,Miami-Dade County,25.9022,-80.088,3386,Exposed,0.0487,33.22,19.8,301.92,0.63,3.14,0.62,2.09,3,0.060599999999999994
14177,2005-08-23,2005,8,23,Broward County,26.3055,-80.0677,833,Exposed,0.0439,52.57,11.9,301.89,0.24,3.77,0.24,3.73,3,0.08109999999999999
14106,2005-08-23,2005,8,23,Broward County,26.1926,-80.0913,298.26,Exposed,0.0431,54.65,16,262.15,1.08,2.37,1.08,2.04,3,0.0909
14180,2005-08-23,2005,8,23,Broward County,26.3093,-80.0596,1580.86,Exposed,0.0439,52.57,19.2,301.89,0.24,3.77,0.24,3.73,3,0.10529999999999999
14116,2005-08-23,2005,8,23,Broward County,26.2032,-80.0779,1465.17,Exposed,0.0442,54.65,19,262.15,0.63,2.66,0.63,2.32,3,0.1364
13694,2005-08-23,2005,8,23,Miami-Dade County,25.6781,-80.0898,6378.5,Exposed,0.1066,52.58,12,302.05,0.63,2.28,0.59,1.18,3,0.1852
13816,2005-08-23,2005,8,23,Miami-Dade County,25.8625,-80.0874,3165,Exposed,0.0684,33.22,23.2,301.94,0.23,2.78,0.22,1.76,3,0.1852
14167,2005-08-23,2005,8,23,Broward County,26.2858,-80.0699,806.32,Exposed,0.0447,52.57,13.7,301.89,0.24,3.77,0.24,3.73,3,0.193
13690,2005-08-23,2005,8,23,Miami-Dade County,25.6749,-80.0984,5478.98,Exposed,0.1066,52.58,10,302.05,0.63,2.28,0.59,1.18,3,0.2
